"run","tick","OriginOfConsumedResouces"
1,2.0,"Central America:Northern America|75415.64;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8148.9;Western Europe|88458.77;Oceania|38139.77;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|147407.69;China|0.0;"
1,2.0,"Southern Africa:Northern America|21632.66;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2374.0;Western Europe|25763.22;Oceania|11440.22;Russian Federation|0.0;India|332.0;Pakistan|0.0;United States of America|42601.23;China|0.0;"
1,2.0,"South-Eastern Asia:Northern America|110184.64;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|11905.35;Western Europe|129244.01;Oceania|57390.39;Russian Federation|0.0;India|1666.0;Pakistan|0.0;United States of America|212037.45;China|0.0;"
1,2.0,"China:Northern America|202228.32;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|21848.45;Western Europe|237206.98;Oceania|105329.1;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|362861.49;China|8775389.14;"
1,2.0,"Pakistan:Northern America|61122.34;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|6604.45;Western Europe|71693.77;Oceania|31835.21;Russian Federation|0.0;India|0.0;Pakistan|1263566.98;United States of America|113836.88;China|0.0;"
1,2.0,"Eastern Asia:Northern America|191130.86;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|20650.65;Western Europe|224191.02;Oceania|99548.14;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|367812.33;China|2890.0;"
1,2.0,"Russian Federation:Northern America|142606.58;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|15408.0;Western Europe|167273.43;Oceania|61731.63;Russian Federation|3466740.87;India|0.0;Pakistan|0.0;United States of America|276588.05;China|0.0;"
1,2.0,"Western Asia:Northern America|38888.84;South America|0.0;Central Asia|0.0;Eastern Europe|588.0;Northern Europe|4202.85;Western Europe|45613.32;Oceania|19665.76;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|75424.85;China|0.0;"
1,2.0,"Southern Europe:Northern America|70541.18;South America|0.0;Central Asia|0.0;Eastern Europe|1066.0;Northern Europe|7621.55;Western Europe|82742.77;Oceania|35674.26;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|136816.3;China|0.0;"
1,2.0,"Eastern Africa:Northern America|24301.06;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2667.3;Western Europe|28941.76;Oceania|12853.1;Russian Federation|0.0;India|0.0;Pakistan|373.0;United States of America|47856.61;China|0.0;"
1,2.0,"Northern America:Northern America|713107.84;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|354.0;Western Europe|0.0;Oceania|0.0;Russian Federation|692.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,2.0,"Northern Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|1601535.45;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,2.0,"United States of America:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|2681208.92;China|0.0;"
1,2.0,"Central Asia:Northern America|31941.82;South America|0.0;Central Asia|1107890.87;Eastern Europe|0.0;Northern Europe|3452.35;Western Europe|37467.73;Oceania|12834.31;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|61952.64;China|0.0;"
1,2.0,"India:Northern America|47379.04;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|5120.25;Western Europe|55572.66;Oceania|24677.9;Russian Federation|0.0;India|4853982.9;Pakistan|0.0;United States of America|76620.98;China|0.0;"
1,3.0,"Western Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|7425.0;Northern Europe|5272.0;Western Europe|2782649.66;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
