"run","tick","OriginOfConsumedResouces"
1,3.0,"Northern Africa:Northern America|221178.08;South America|0.0;Central Asia|0.0;Eastern Europe|6564.0;Northern Europe|23388.9;Western Europe|254567.34;Oceania|109753.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|422043.78;China|0.0;"
1,3.0,"Eastern Asia:Northern America|191896.33;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|20598.38;Western Europe|224191.02;Oceania|102437.4;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|368795.62;China|5780.0;"
1,3.0,"Western Africa:Northern America|43792.47;South America|0.0;Central Asia|0.0;Eastern Europe|1298.0;Northern Europe|4630.5;Western Europe|50401.68;Oceania|21733.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|83560.9;China|0.0;"
1,3.0,"Southern Europe:Northern America|71890.29;South America|0.0;Central Asia|0.0;Eastern Europe|2132.0;Northern Europe|7602.26;Western Europe|82742.77;Oceania|35674.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|137179.2;China|0.0;"
1,4.0,"Northern America:Northern America|727812.52;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,4.0,"Southern Asia:Northern America|79370.27;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8519.28;Western Europe|92971.34;Oceania|41827.48;Russian Federation|0.0;India|0.0;Pakistan|3585.0;United States of America|154571.27;China|0.0;"
1,4.0,"South America:Northern America|79032.24;South America|1306149.64;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8356.74;Western Europe|91202.68;Oceania|26950.72;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|152801.68;China|0.0;"
1,4.0,"Central Asia:Northern America|28749.71;South America|0.0;Central Asia|1107195.48;Eastern Europe|0.0;Northern Europe|3443.62;Western Europe|37566.06;Oceania|13580.44;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|59135.56;China|0.0;"
1,4.0,"South-Eastern Asia:Northern America|110625.92;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|11875.22;Western Europe|129583.22;Oceania|59964.36;Russian Federation|0.0;India|3332.0;Pakistan|0.0;United States of America|213772.55;China|1666.0;"
1,4.0,"Pakistan:Northern America|57581.27;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|6587.74;Western Europe|71881.94;Oceania|33263.04;Russian Federation|0.0;India|0.0;Pakistan|1260366.9;United States of America|111013.52;China|0.0;"
1,4.0,"Southern Africa:Northern America|21388.73;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2368.0;Western Europe|25830.84;Oceania|11953.28;Russian Federation|0.0;India|996.0;Pakistan|0.0;United States of America|43279.17;China|0.0;"
1,4.0,"Northern Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|1597480.94;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,4.0,"Oceania:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|385755.52;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,4.0,"Central America:Northern America|76857.92;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8128.28;Western Europe|88690.94;Oceania|37621.48;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|152015.51;China|0.0;"
1,4.0,"Eastern Africa:Northern America|24399.93;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2660.56;Western Europe|29017.72;Oceania|13429.4;Russian Federation|0.0;India|0.0;Pakistan|1119.0;United States of America|48245.19;China|0.0;"
1,4.0,"China:Northern America|176733.96;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|21793.14;Western Europe|237829.56;Oceania|110053.4;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|339741.71;China|8768353.56;"
1,4.0,"Eastern Europe:Northern America|120546.41;South America|0.0;Central Asia|0.0;Eastern Europe|3221522.83;Northern Europe|12746.9;Western Europe|139107.3;Oceania|29809.8;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|233064.16;China|0.0;"
1,4.0,"India:Northern America|48285.12;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|5107.3;Western Europe|55718.52;Oceania|25784.6;Russian Federation|0.0;India|4848139.6;Pakistan|0.0;United States of America|47545.42;China|0.0;"
1,4.0,"Middle Africa:Northern America|9239.16;South America|0.0;Central Asia|0.0;Eastern Europe|429.0;Northern Europe|1023.46;Western Europe|11158.4;Oceania|5164.88;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|18694.4;China|0.0;"
1,4.0,"Western Asia:Northern America|39044.52;South America|0.0;Central Asia|588.0;Eastern Europe|1176.0;Northern Europe|4192.22;Western Europe|45733.04;Oceania|20574.24;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|76037.15;China|0.0;"
1,4.0,"United States of America:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|2723880.68;China|0.0;"
1,4.0,"Western Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|9691.0;Northern Europe|7561.0;Western Europe|2785431.52;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
